PDB	Name
7C61	BRIL
7CMU	BRIL
7CMV	BRIL
7DDZ	T4-Lysozyme
7DDZ	Flavodoxin
7DFP	BRIL
7E32	BRIL
7E33	BRIL
7EJX	BRIL
7EO2	LgBiT
7EO2	HiBiT
7EO4	LgBiT
7EPD	FKBP12
7EPD	FRB
7EPE	Flavodoxin
7EPF	Flavodoxin
7EVY	T4-Lysozyme
7EVZ	T4-Lysozyme
7EW0	T4-Lysozyme
7EW7	T4-Lysozyme
7EXD	BRIL
7F6I	Maltose-binding protein
7F8U	T4-Lysozyme
7F8X	T4-Lysozyme
7F8Y	T4-Lysozyme
7FEE	GlgA glycogen synthase
7IN1	BRIL
7IN2	BRIL
7IN3	BRIL
7IN5	BRIL
7IN6	BRIL
7IN7	BRIL
7IN8	BRIL
7IN9	BRIL
7INA	BRIL
7INB	BRIL
7IND	BRIL
7INE	BRIL
7INF	BRIL
7ING	BRIL
7INH	BRIL
7INI	BRIL
7INJ	BRIL
7INK	BRIL
7INL	BRIL
7INM	BRIL
7INN	BRIL
7INO	BRIL
7INP	BRIL
7INQ	BRIL
7INR	BRIL
7INT	BRIL
7INU	BRIL
7INV	BRIL
7INW	BRIL
7INX	BRIL
7INY	BRIL
7INZ	BRIL
7IO0	BRIL
7IO1	BRIL
7IO2	BRIL
7IO3	BRIL
7IO4	BRIL
7IO5	BRIL
7IO6	BRIL
7IO7	BRIL
7IO8	BRIL
7IO9	BRIL
7IOA	BRIL
7IOB	BRIL
7IOC	BRIL
7IOD	BRIL
7IOE	BRIL
7IOG	BRIL
7IOH	BRIL
7IOI	BRIL
7IOJ	BRIL
7IOK	BRIL
7IOL	BRIL
7IOM	BRIL
7IOO	BRIL
7IOP	BRIL
7IOQ	BRIL
7IOS	BRIL
7IOT	BRIL
7IOU	BRIL
7IOV	BRIL
7IOW	BRIL
7IOX	BRIL
7IOY	BRIL
7IOZ	BRIL
7IP0	BRIL
7IP1	BRIL
7IP2	BRIL
7IP3	BRIL
7IP4	BRIL
7IP5	BRIL
7IP6	BRIL
7IP7	BRIL
7IP8	BRIL
7IP9	BRIL
7IPA	BRIL
7IPB	BRIL
7IPC	BRIL
7IPD	BRIL
7IPE	BRIL
7IPG	BRIL
7JNI	BRIL
7JOZ	T4-Lysozyme
7JVP	b2-Adrenergic Receptor N-terminal tail
7JVR	BRIL
7K15	Flavodoxin
7M8W	T4-Lysozyme
7P2L	T4-Lysozyme
7PP1	BRIL
7PX4	BRIL
7PYR	BRIL
7RM5	BRIL
7S8M	BRIL
7S8O	BRIL
7SBF	BRIL
7SRQ	BRIL
7SRS	BRIL
7SUS	Rubredoxin
7T2G	BRIL
7T2H	BRIL
7T32	BRIL
7TUY	BRIL
7UM6	BRIL
7V68	BRIL
7V69	BRIL
7V6A	BRIL
7V9L	LgBiT subunit
7V9L	HiBiT subunit
7VAB	BRIL
7VDH	BRIL
7VDL	BRIL
7VDM	BRIL
7VIE	BRIL
7VIF	BRIL
7VIG	BRIL
7VIH	BRIL
7VOE	BRIL
7VUG	Endo-1,4-beta-xylanase
7VV3	BRIL
7VV5	BRIL
7W0L	BRIL
7W0M	BRIL
7W0N	BRIL
7W0O	BRIL
7W0P	BRIL
7W41	GlgA glycogen synthase
7WC4	BRIL
7WC6	BRIL
7WC7	BRIL
7WC8	BRIL
7WC9	BRIL
7WCM	BRIL
7WF7	LgBiT
7WF7	HiBiT
7WJ5	BRIL
7WUQ	mCherry
7WVV	BRIL
7WVW	BRIL
7WVX	BRIL
7WY8	LgBiT
7WY8	HiBiT
7WYB	LgBiT
7WZ4	BRIL
7X5H	BRIL
7X5H	LgBiT
7X5H	HiBiT
7XAT	LargeBit
7XAT	HiBiT
7XAU	LargeBit
7XAV	LargeBit
7XK2	BRIL
7XK9	T4-Lysozyme
7XKA	T4-Lysozyme
7XN9	Endo-1,4-beta-xylanase
7XNA	Endo-1,4-beta-xylanase
7XT8	BRIL
7XT9	BRIL
7XTA	BRIL
7XTB	BRIL
7XTC	BRIL
7XY6	BRIL
7XY6	LgBiT
7XY6	HiBiT
7XY7	BRIL
7XY7	LgBiT
7XY7	HiBiT
7XZ5	BRIL
7XZ6	BRIL
7Y12	BRIL
7Y13	BRIL
7Y14	BRIL
7YIT	BRIL
7YK6	BRIL
7YK6	LgBiT
7YK7	BRIL
7YON	BRIL
7YOO	BRIL
7YS6	BRIL
7ZL9	BRIL
7ZLY	BRIL
8A2O	BRIL
8A2P	BRIL
8C9W	BRIL
8CIC	BRIL
8CU6	BRIL
8CU7	BRIL
8CXO	PGS (GlgA glycogen synthase)
8DU3	BRIL
8EA0	LgBiT
8FY8	BRIL
8FYE	BRIL
8FYL	BRIL
8FYN	BRIL
8FYT	BRIL
8FYX	BRIL
8GNE	BRIL
8GTG	T4-Lysozyme
8GTI	Endolysin
8GUQ	BRIL
8GUR	BRIL
8GUS	BRIL
8GUT	BRIL
8H2G	BRIL
8HBD	LgBiT
8HIX	BRIL
8HMV	BRIL
8HN8	BRIL
8HNK	BRIL
8HNK	LgBiT
8HNK	HiBiT
8HNL	BRIL
8HNL	luci_oplgr (LgBit)
8HNM	BRIL
8HNM	LgBiT
8HNM	HiBiT
8HNN	BRIL
8HOC	BRIL
8HQE	BRIL
8HQM	BRIL
8HQN	BRIL
8HS2	BRIL
8HS3	BRIL
8HSC	BRIL
8HVI	BRIL
8I7V	BRIL
8I7W	BRIL
8IHB	BRIL
8IHB	LgBiT
8IHB	HiBiT
8IHF	BRIL
8IHF	LgBiT
8IHH	BRIL
8IHH	LgBiT
8IHI	BRIL
8IHI	LgBiT
8IHI	HiBiT
8IHJ	BRIL
8IHK	BRIL
8IKJ	BRIL
8INR	LgBiT subunit
8INR	HiBiT
8INR	HA signal peptide
8IOC	HA signal peptide
8IOC	LgBiT subunit
8IOC	HiBiT
8IOD	LgBiT subunit
8IOD	HiBiT
8IOD	HA signal peptide
8IRR	Beta-2 adrenergic receptor N-terminal fragment
8IRS	BRIL
8IRT	BRIL
8IRV	BRIL
8ITF	BRIL
8IU2	BRIL
8IW4	BRIL
8IW7	BRIL
8IWM	BRIL
8IWM	LgBiT
8IY6	LgBiT
8IYX	Pyrococcus abyssi glycogen synthase (PGS)
8J18	BRIL
8J19	BRIL
8J1A	BRIL
8J21	BRIL
8J22	BRIL
8J24	BRIL
8J6J	LgBiT
8J6P	BRIL
8J6Q	BRIL
8J9O	BRIL
8JCV	FKBP1A
8JCV	mTOR (FRB fragment)
8JCW	Peptidyl-prolyl cis-trans isomerase FKBP1A
8JCW	mTOR (FRB domain)
8JCY	Peptidyl-prolyl cis-trans isomerase FKBP1A
8JCY	Serine/threonine-protein kinase mTOR (FRB fragment)
8JCZ	FKBP1A
8JCZ	FRB (mTOR fragment)
8JD0	FKBP1A
8JD0	FRB (mTOR fragment)
8JD1	Peptidyl-prolyl cis-trans isomerase FKBP1A
8JD1	Serine/threonine-protein kinase mTOR (FRB fragment)
8JD2	FKBP1A
8JD2	mTOR (FRB fragment)
8JD4	FKBP1A
8JD4	mTOR (FRB fragment)
8JH7	BRIL
8JHC	BRIL
8JJ8	BRIL
8JJL	mBRIL
8JJO	mBRIL
8JLO	BRIL
8JMT	BRIL
8JPF	BRIL
8JPF	LgBiT
8JPN	BRIL
8JPN	NanoLuc (Oplophorus-luciferin 2-monooxygenase)
8JSP	BRIL
8JT6	BRIL
8JT8	BRIL
8JWY	T4-Lysozyme
8JWZ	T4-Lysozyme
8K2W	BRIL
8K2W	Kappa-type opioid receptor (ICL3)
8K2X	BRIL
8K2X	NanoBiT (Oplophorus-luciferin 2-monooxygenase catalytic subunit)
8K4O	BRIL
8K4P	BRIL
8K5B	BRIL
8K5C	BRIL
8K5D	BRIL
8K9L	BRIL
8KEX	BRIL
8KEX	GFP
8KFX	LgBiT
8KFY	LgBiT
8KFY	HiBiT
8KFZ	LgBiT
8PWN	BRIL
8QJ2	BRIL
8QJ2	Red fluorescent protein drFP583
8RLN	BRIL
8RQQ	BRIL
8RVW	BRIL
8RW0	BRIL
8RW4	BRIL
8RW7	BRIL
8RWC	BRIL
8RWD	BRIL
8RWE	BRIL
8RWH	BRIL
8RWX	BRIL
8SAI	BRIL
8T1V	BRIL
8T1W	BRIL
8TB7	BRIL
8TH4	BRIL
8TLM	Green fluorescent protein
8TRC	SNAP-tag
8TRD	mVenus
8TRD	Twin-Strep-tag
8U1U	EGFP
8U4N	mEGFP
8U4O	monomeric eGFP
8U4P	monomeric eGFP
8U4Q	GFP
8U4R	mEGFP
8UGW	T4-Lysozyme (T4Lcp)
8UGY	BRIL
8UH3	b562RIL
8VHF	BRIL
8VHF	LgBiT
8VHF	HiBiT
8VY7	BRIL
8VY7	LgBiT
8W87	BRIL
8W88	BRIL
8W89	BRIL
8W8B	BRIL
